"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Corbières","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",528,271,51.3,269,146,123,54.3
"......Crésuz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",231,138,59.7,137,69,68,50.4
"......Echarlens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",508,273,53.7,269,137,132,50.9
"......Grandvillard","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",513,306,59.6,293,144,149,49.1
"......Gruyères","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1302,658,50.5,647,306,341,47.3
"......Hauteville","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",396,199,50.3,196,93,103,47.4
"......Jaun","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",537,211,39.3,208,108,100,51.9
"......Marsens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1086,572,52.7,564,295,269,52.3
"......Morlon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",408,244,59.8,241,110,131,45.6
"......Le Pâquier (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",720,399,55.4,391,193,198,49.4
"......Pont-la-Ville","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",423,209,49.4,206,80,126,38.8
"......Riaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1476,795,53.9,778,381,397,49.0
"......La Roche","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1015,479,47.2,472,224,248,47.5
"......Sâles","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1053,576,54.7,563,286,277,50.8
"......Sorens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",715,412,57.6,402,201,201,50.0
"......Vaulruz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",741,383,51.7,373,188,185,50.4
"......Vuadens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1422,734,51.6,721,369,352,51.2
"......Bas-Intyamon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",806,411,51.0,397,212,185,53.4
"......Val-de-Charmey","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1661,923,55.6,910,460,450,50.5
">> District de la Sarine","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",59181,30508,51.6,29724,15226,14498,51.2
"......Arconciel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",531,279,52.5,270,137,133,50.7
"......Autigny","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",530,277,52.3,273,134,139,49.1
"......Avry","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1214,702,57.8,691,306,385,44.3
"......Belfaux","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1680,929,55.3,914,466,448,51.0
"......Chénens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",431,193,44.8,191,90,101,47.1
"......Corminboeuf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1597,914,57.2,881,435,446,49.4
"......Corserey","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",258,121,46.9,118,59,59,50.0
"......Cottens (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",860,454,52.8,449,216,233,48.1
"......Ependes (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",780,409,52.4,404,211,193,52.2
"......Ferpicloz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",193,101,52.3,98,36,62,36.7
"......Fribourg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",20309,10236,50.4,9900,5518,4382,55.7
"......Givisiez","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1714,870,50.8,855,418,437,48.9
"......Granges-Paccot","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1519,580,38.2,569,270,299,47.5
"......Grolley","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1168,618,52.9,603,302,301,50.1
"......Marly","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4714,2448,51.9,2425,1250,1175,51.5
"......Matran","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1012,526,52.0,505,248,257,49.1
"......Neyruz (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1476,771,52.2,756,369,387,48.8
"......Noréaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",422,232,55.0,232,113,119,48.7
"......Pierrafortscha","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",101,77,76.2,77,39,38,50.6
"......Ponthaux","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",437,208,47.6,204,93,111,45.6
"......Le Mouret","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2113,1021,48.3,999,488,511,48.8
"......Prez-vers-Noréaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",628,330,52.5,320,161,159,50.3
"......Senèdes","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",105,74,70.5,73,37,36,50.7
"......Treyvaux","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1050,615,58.6,602,243,359,40.4
"......Villars-sur-Glâne","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6467,3441,53.2,3314,1670,1644,50.4
"......Villarsel-sur-Marly","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",57,37,64.9,37,22,15,59.5
"......Hauterive (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1489,736,49.4,717,336,381,46.9
"......La Brillaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1178,620,52.6,606,293,313,48.3
"......La Sonnaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",679,356,52.4,350,186,164,53.1
"......Gibloux","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4469,2333,52.2,2291,1080,1211,47.1
">> Bezirk See / District du Lac","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",22282,10251,46.0,10126,5156,4970,50.9
"......Courgevaux","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",781,324,41.5,317,172,145,54.3
"......Courtepin","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2688,1247,46.4,1232,685,547,55.6
"......Cressier (FR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",517,275,53.2,268,153,115,57.1
"......Fräschels","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",379,185,48.8,183,87,96,47.5
"......Galmiz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",426,195,45.8,194,89,105,45.9
"......Gempenach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",208,83,39.9,82,41,41,50.0
"......Greng","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",121,64,52.9,64,23,41,35.9
"......Gurmels","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2828,1069,37.8,1063,540,523,50.8
"......Kerzers","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2973,1223,41.1,1213,608,605,50.1
"......Kleinbösingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",463,202,43.6,200,114,86,57.0
"......Meyriez","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",447,264,59.1,260,140,120,53.8
"......Misery-Courtion","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1034,463,44.8,453,201,252,44.4
"......Muntelier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",695,366,52.7,366,167,199,45.6
"......Murten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5344,2590,48.5,2557,1318,1239,51.5
"......Ried bei Kerzers","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",712,355,49.9,353,156,197,44.2
"......Ulmiz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",315,131,41.6,131,65,66,49.6
"......Mont-Vully","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2351,1215,51.7,1190,597,593,50.2
">> Bezirk Sense","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",31209,13153,42.1,13019,6775,6244,52.0
"......Alterswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1536,643,41.9,634,342,292,53.9
"......Brünisried","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",506,194,38.3,192,98,94,51.0
"......Düdingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5486,2447,44.6,2416,1247,1169,51.6
"......Giffers","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1077,458,42.5,452,244,208,54.0
"......Bösingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2529,1117,44.2,1105,585,520,52.9
"......Heitenried","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1032,434,42.1,430,214,216,49.8
"......Plaffeien","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2682,974,36.3,961,437,524,45.5
"......Plasselb","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",751,282,37.5,281,122,159,43.4
"......Rechthalten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",875,361,41.3,360,217,143,60.3
"......St. Antoni","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1552,671,43.2,669,310,359,46.3
