"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Allaman","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",247,141,57.1,138,71,67,51.4
">> District de Nyon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",46975,24847,52.9,24368,11602,12766,47.6
"......Longirod","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",277,148,53.4,148,62,86,41.9
"......Marchissy","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",270,133,49.3,130,65,65,50.0
"......Saint-George","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",544,288,52.9,284,134,150,47.2
"......Arnex-sur-Nyon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",112,68,60.7,68,25,43,36.8
"......Arzier-Le Muids","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1283,719,56.0,706,373,333,52.8
"......Bassins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",670,381,56.9,370,184,186,49.7
"......Begnins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",985,484,49.1,474,215,259,45.4
"......Bogis-Bossey","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",439,238,54.2,235,96,139,40.9
"......Borex","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",494,280,56.7,274,127,147,46.4
"......Chavannes-de-Bogis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",673,274,40.7,272,130,142,47.8
"......Chavannes-des-Bois","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",372,199,53.5,191,90,101,47.1
"......Chéserex","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",736,420,57.1,414,179,235,43.2
"......Coinsins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",248,132,53.2,132,65,67,49.2
"......Commugny","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1299,743,57.2,734,297,437,40.5
"......Coppet","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1393,781,56.1,768,350,418,45.6
"......Crans-près-Céligny","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1082,642,59.3,638,261,377,40.9
"......Crassier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",555,337,60.7,327,141,186,43.1
"......Duillier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",616,344,55.8,329,151,178,45.9
"......Eysins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",704,346,49.1,343,185,158,53.9
"......Founex","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1354,731,54.0,721,249,472,34.5
