Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
BE,Landiswil,624,10,0,204,64,0.9842271293,0.01577287066,0.7611940299,0.2388059701,634,25% - 50%
GR,Landquart,6942,1516,19,1528,1239,0.8207614093,0.1792385907,0.5522226238,0.4477773762,8458,90% - 99%
BL,Langenbruck,812,140,5,206,156,0.8529411765,0.1470588235,0.5690607735,0.4309392265,952,25% - 50%
SO,Langendorf,3263,493,21,703,820,0.868743344,0.131256656,0.4615889691,0.5384110309,3756,75% - 90%
BE,Langenthal,12118,3066,38,2498,2786,0.7980769231,0.2019230769,0.4727479182,0.5272520818,15184,90% - 99%
ZH,Langnau am Albis,5450,1804,68,1315,1379,0.7513096223,0.2486903777,0.488121752,0.511878248,7254,90% - 99%
BE,Langnau im Emmental,8519,573,15,1896,1664,0.9369775627,0.06302243731,0.5325842697,0.4674157303,9092,90% - 99%
TG,Langrickenbach,1011,136,0,308,165,0.8814298169,0.1185701831,0.6511627907,0.3488372093,1147,25% - 50%
GR,Lantsch/Lenz,455,88,0,67,94,0.8379373849,0.1620626151,0.4161490683,0.5838509317,543,0% - 25%
BE,Lauenen,723,93,0,241,90,0.8860294118,0.1139705882,0.7280966767,0.2719033233,816,25% - 50%
SZ,Lauerz,984,72,0,356,150,0.9318181818,0.06818181818,0.7035573123,0.2964426877,1056,25% - 50%
BL,Läufelfingen,1153,140,2,315,202,0.8917246713,0.1082753287,0.6092843327,0.3907156673,1293,25% - 50%
BL,Laufen,4060,1262,19,902,893,0.7628711011,0.2371288989,0.5025069638,0.4974930362,5322,75% - 90%
ZH,Laufen-Uhwiesen,1401,157,3,413,311,0.8992297818,0.1007702182,0.570441989,0.429558011,1558,50% - 75%
AG,Laufenburg,2279,989,5,550,508,0.6973684211,0.3026315789,0.5198487713,0.4801512287,3268,50% - 75%
BE,Laupen,2513,308,2,511,609,0.8908188586,0.1091811414,0.45625,0.54375,2821,50% - 75%
SO,Laupersdorf,1544,138,0,497,250,0.9179548157,0.0820451843,0.6653279786,0.3346720214,1682,50% - 75%
BE,Lauperswil,2581,91,3,690,297,0.9659431138,0.03405688623,0.6990881459,0.3009118541,2672,50% - 75%
VD,Lausanne,76575,53846,1084,11319,23476,0.5871370408,0.4128629592,0.32530536,0.67469464,130421,99% - 100%
BL,Lausen,3616,1252,8,1018,894,0.742810189,0.257189811,0.5324267782,0.4675732218,4868,75% - 90%
BE,Lauterbrunnen,1907,563,6,451,334,0.7720647773,0.2279352227,0.574522293,0.425477707,2470,50% - 75%
BL,Lauwil,308,14,0,77,73,0.9565217391,0.04347826087,0.5133333333,0.4866666667,322,0% - 25%
TI,Lavertezzo,976,260,3,272,119,0.7896440129,0.2103559871,0.6956521739,0.3043478261,1236,25% - 50%
VD,Lavey-Morcles,718,131,2,185,155,0.8457008245,0.1542991755,0.5441176471,0.4558823529,849,25% - 50%
VD,Lavigny,679,206,3,102,205,0.7672316384,0.2327683616,0.332247557,0.667752443,885,25% - 50%
GR,Lavin,209,24,0,24,72,0.8969957082,0.1030042918,0.25,0.75,233,0% - 25%
TI,Lavizzara,531,41,0,142,55,0.9283216783,0.07167832168,0.7208121827,0.2791878173,572,0% - 25%
VS,Lax,249,43,0,52,72,0.852739726,0.147260274,0.4193548387,0.5806451613,292,0% - 25%
JU,Le Bémont (JU),312,7,0,60,65,0.9780564263,0.02194357367,0.48,0.52,319,0% - 25%
NE,Le Cerneux-Péquignot,311,11,1,84,76,0.9658385093,0.03416149068,0.525,0.475,322,0% - 25%
FR,Le Châtelard,359,13,0,74,51,0.9650537634,0.03494623656,0.592,0.408,372,0% - 25%
VD,Le Chenit,3284,1126,19,641,812,0.7446712018,0.2553287982,0.4411562285,0.5588437715,4410,75% - 90%
FR,Le Flon,999,92,0,223,210,0.9156736939,0.08432630614,0.5150115473,0.4849884527,1091,25% - 50%
FR,Le Glèbe,1104,85,0,248,238,0.9285113541,0.07148864592,0.5102880658,0.4897119342,1189,25% - 50%
GE,Le Grand-Saconnex,6645,5202,96,1118,1582,0.560901494,0.439098506,0.4140740741,0.5859259259,11847,90% - 99%
NE,Le Landeron,3606,828,9,690,926,0.8132611637,0.1867388363,0.426980198,0.573019802,4434,75% - 90%
VD,Le Lieu,734,134,5,138,208,0.8456221198,0.1543778802,0.3988439306,0.6011560694,868,25% - 50%
NE,Le Locle,7528,2680,78,1509,1809,0.737460815,0.262539185,0.4547920434,0.5452079566,10208,90% - 99%
VD,Le Mont-sur-Lausanne,4799,1492,28,923,1499,0.7628357972,0.2371642028,0.3810900083,0.6189099917,6291,75% - 90%
FR,Le Mouret,2676,346,4,667,492,0.8855062872,0.1144937128,0.5754961173,0.4245038827,3022,50% - 75%
JU,Le Noirmont,1521,234,5,256,372,0.8666666667,0.1333333333,0.4076433121,0.5923566879,1755,50% - 75%
FR,Le Pâquier (FR),960,149,4,213,235,0.865644725,0.134355275,0.4754464286,0.5245535714,1109,25% - 50%
VD,Le Vaud,1023,221,4,178,308,0.8223472669,0.1776527331,0.366255144,0.633744856,1244,25% - 50%
FR,Léchelles,559,70,0,131,130,0.8887122417,0.1112877583,0.5019157088,0.4980842912,629,25% - 50%
GR,Leggia,122,10,0,52,7,0.9242424242,0.07575757576,0.8813559322,0.1186440678,132,0% - 25%
AG,Leibstadt,907,403,2,301,141,0.6923664122,0.3076335878,0.6809954751,0.3190045249,1310,25% - 50%
AG,Leimbach (AG),400,45,0,132,72,0.8988764045,0.1011235955,0.6470588235,0.3529411765,445,0% - 25%
BE,Leissigen,890,62,3,242,151,0.9348739496,0.06512605042,0.6157760814,0.3842239186,952,25% - 50%
AG,Lengnau (AG),2239,349,2,614,390,0.8651468315,0.1348531685,0.6115537849,0.3884462151,2588,50% - 75%
BE,Lengnau (BE),3738,895,14,1007,566,0.8068206346,0.1931793654,0.6401780038,0.3598219962,4633,75% - 90%
TG,Lengwil,1154,283,4,304,190,0.8030619346,0.1969380654,0.6153846154,0.3846153846,1437,50% - 75%
BE,Lenk,2106,357,1,649,310,0.8550548112,0.1449451888,0.6767466111,0.3232533889,2463,50% - 75%
VS,Lens,2732,1177,31,746,749,0.6988999744,0.3011000256,0.4989966555,0.5010033445,3909,75% - 90%
AG,Lenzburg,6262,2364,26,1272,1732,0.725944818,0.274055182,0.4234354194,0.5765645806,8626,90% - 99%
VS,Les Agettes,287,43,0,74,77,0.8696969697,0.1303030303,0.4900662252,0.5099337748,330,0% - 25%
JU,Les Bois,1035,102,0,141,259,0.9102902375,0.08970976253,0.3525,0.6475,1137,25% - 50%
NE,Les Brenets,965,135,0,232,254,0.8772727273,0.1227272727,0.4773662551,0.5226337449,1100,25% - 50%
JU,Les Breuleux,1207,207,7,198,340,0.8536067893,0.1463932107,0.3680297398,0.6319702602,1414,50% - 75%
VD,Les Clées,141,20,0,22,67,0.8757763975,0.1242236025,0.2471910112,0.7528089888,161,0% - 25%
JU,Les Enfers,156,3,0,29,37,0.9811320755,0.01886792453,0.4393939394,0.5606060606,159,0% - 25%
JU,Les Genevez (JU),484,42,0,108,124,0.9201520913,0.07984790875,0.4655172414,0.5344827586,526,0% - 25%
FR,Les Montets,1136,197,0,301,191,0.8522130533,0.1477869467,0.6117886179,0.3882113821,1333,25% - 50%
NE,Les Planchettes,210,18,0,43,53,0.9210526316,0.07894736842,0.4479166667,0.5520833333,228,0% - 25%
NE,Les Ponts-de-Martel,1186,92,3,280,299,0.9280125196,0.07198748044,0.4835924007,0.5164075993,1278,25% - 50%
NE,Les Verrières,649,53,0,139,151,0.9245014245,0.0754985755,0.4793103448,0.5206896552,702,25% - 50%
AG,Leuggern,1797,302,1,614,264,0.8561219628,0.1438780372,0.6993166287,0.3006833713,2099,50% - 75%
VS,Leuk,3300,412,17,965,787,0.8890086207,0.1109913793,0.5507990868,0.4492009132,3712,75% - 90%
VS,Leukerbad,998,588,26,203,206,0.6292559899,0.3707440101,0.4963325183,0.5036674817,1586,50% - 75%
AG,Leutwil,680,61,0,260,79,0.9176788124,0.08232118758,0.7669616519,0.2330383481,741,25% - 50%
BE,Leuzigen,1130,61,0,336,148,0.9487825357,0.05121746432,0.694214876,0.305785124,1191,25% - 50%
VD,Leysin,1565,2423,34,276,402,0.3924272818,0.6075727182,0.407079646,0.592920354,3988,75% - 90%
VS,Leytron,2361,492,9,682,696,0.8275499474,0.1724500526,0.4949201742,0.5050798258,2853,50% - 75%
SG,Lichtensteig,1553,371,27,340,336,0.8071725572,0.1928274428,0.5029585799,0.4970414201,1924,50% - 75%
VS,Liddes,680,49,4,147,202,0.9327846365,0.06721536351,0.4212034384,0.5787965616,729,25% - 50%
BL,Liedertswil,155,11,0,59,19,0.9337349398,0.06626506024,0.7564102564,0.2435897436,166,0% - 25%
BL,Liesberg,1059,111,2,349,144,0.9051282051,0.09487179487,0.7079107505,0.2920892495,1170,25% - 50%
BL,Liestal,10221,3487,48,2032,2541,0.7456229939,0.2543770061,0.4443472556,0.5556527444,13708,90% - 99%
BE,Ligerz,498,29,1,113,166,0.944971537,0.055028463,0.4050179211,0.5949820789,527,0% - 25%
VD,Lignerolle,329,40,2,77,71,0.891598916,0.108401084,0.5202702703,0.4797297297,369,0% - 25%
NE,Lignières,849,113,1,161,204,0.8825363825,0.1174636175,0.4410958904,0.5589041096,962,25% - 50%
ZH,Lindau,4150,1062,23,1222,851,0.7962394474,0.2037605526,0.5894838398,0.4105161602,5212,75% - 90%
BE,Linden,1253,54,5,433,140,0.9586840092,0.04131599082,0.7556719023,0.2443280977,1307,25% - 50%
TI,Linescio,45,6,0,16,8,0.8823529412,0.1176470588,0.6666666667,0.3333333333,51,0% - 25%
TI,Locarno,10114,5369,86,2655,1553,0.6532325777,0.3467674223,0.6309410646,0.3690589354,15483,90% - 99%
TI,Lodrino,1204,493,4,395,184,0.7094873306,0.2905126694,0.6822107081,0.3177892919,1697,50% - 75%
GR,Lohn (GR),41,1,0,9,15,0.9761904762,0.02380952381,0.375,0.625,42,0% - 25%
SH,Lohn (SH),645,59,0,300,117,0.9161931818,0.08380681818,0.7194244604,0.2805755396,704,25% - 50%
SO,Lohn-Ammannsegg,2418,216,2,576,647,0.9179954442,0.08200455581,0.4709730172,0.5290269828,2634,50% - 75%
SH,Löhningen,1194,182,0,431,253,0.8677325581,0.1322674419,0.6301169591,0.3698830409,1376,50% - 75%
BE,Lohnstorf,212,6,2,58,37,0.9724770642,0.02752293578,0.6105263158,0.3894736842,218,0% - 25%
TG,Lommis,1001,126,3,308,155,0.8881987578,0.1118012422,0.6652267819,0.3347732181,1127,25% - 50%
SO,Lommiswil,1341,93,0,348,341,0.9351464435,0.06485355649,0.5050798258,0.4949201742,1434,50% - 75%
VD,Lonay,1899,520,7,347,602,0.7850351385,0.2149648615,0.3656480506,0.6343519494,2419,50% - 75%
VD,Longirod,342,72,11,76,115,0.8260869565,0.1739130435,0.3979057592,0.6020942408,414,0% - 25%
TI,Losone,5005,1409,26,1544,746,0.7803242906,0.2196757094,0.6742358079,0.3257641921,6414,75% - 90%
GR,Lostallo,619,106,2,223,71,0.8537931034,0.1462068966,0.7585034014,0.2414965986,725,25% - 50%
SO,Lostorf,3480,384,8,951,784,0.900621118,0.09937888199,0.5481268012,0.4518731988,3864,75% - 90%
BE,Lotzwil,2080,402,7,543,383,0.8380338437,0.1619661563,0.5863930886,0.4136069114,2482,50% - 75%
VD,Lovatens,126,2,0,32,35,0.984375,0.015625,0.4776119403,0.5223880597,128,0% - 25%
BE,Loveresse,298,23,0,106,64,0.9283489097,0.07165109034,0.6235294118,0.3764705882,321,0% - 25%
VD,Lucens,1867,1150,16,373,364,0.618826649,0.381173351,0.5061058345,0.4938941655,3017,50% - 75%
ZH,Lufingen,1514,319,24,448,289,0.8259683579,0.1740316421,0.6078697422,0.3921302578,1833,50% - 75%
TI,Lugano,39058,22779,367,13036,6332,0.6316283131,0.3683716869,0.6730689798,0.3269310202,61837,99% - 100%
JU,Lugnez,179,13,0,47,23,0.9322916667,0.06770833333,0.6714285714,0.3285714286,192,0% - 25%
VD,Luins,375,221,2,75,99,0.6291946309,0.3708053691,0.4310344828,0.5689655172,596,25% - 50%
FR,Lully (FR),887,149,1,246,147,0.8561776062,0.1438223938,0.6259541985,0.3740458015,1036,25% - 50%
VD,Lully (VD),635,123,1,85,220,0.8377308707,0.1622691293,0.2786885246,0.7213114754,758,25% - 50%
TI,Lumino,1144,229,0,387,140,0.8332119446,0.1667880554,0.734345351,0.265654649,1373,50% - 75%
GR,Lumnezia,2070,69,0,379,343,0.9677419355,0.03225806452,0.5249307479,0.4750692521,2139,50% - 75%
OW,Lungern,1891,207,0,569,388,0.9013346044,0.09866539561,0.5945663532,0.4054336468,2098,50% - 75%
AG,Lupfig,1780,409,2,525,325,0.8131566926,0.1868433074,0.6176470588,0.3823529412,2189,50% - 75%
BL,Lupsingen,1243,116,2,265,300,0.9146431199,0.08535688006,0.4690265487,0.5309734513,1359,50% - 75%
FR,Lurtigen,181,1,0,52,38,0.9945054945,0.005494505495,0.5777777778,0.4222222222,182,0% - 25%
BE,Lüscherz,482,50,2,121,64,0.9060150376,0.09398496241,0.6540540541,0.3459459459,532,0% - 25%
VD,Lussery-Villars,310,64,0,60,97,0.8288770053,0.1711229947,0.3821656051,0.6178343949,374,0% - 25%
SO,Lüsslingen-Nennigkofen,882,126,3,219,220,0.875,0.125,0.4988610478,0.5011389522,1008,25% - 50%
VD,Lussy-sur-Morges,535,108,1,48,204,0.832037325,0.167962675,0.1904761905,0.8095238095,643,25% - 50%
SO,Luterbach,2830,544,6,731,572,0.8387670421,0.1612329579,0.5610130468,0.4389869532,3374,75% - 90%
SO,Lüterkofen-Ichertswil,680,43,1,178,166,0.9405255878,0.05947441217,0.5174418605,0.4825581395,723,25% - 50%
SO,Lüterswil-Gächliwil,316,14,0,102,71,0.9575757576,0.04242424242,0.5895953757,0.4104046243,330,0% - 25%
LU,Luthern,1272,55,0,407,139,0.9585531274,0.04144687265,0.7454212454,0.2545787546,1327,25% - 50%
SG,Lütisburg,1260,167,3,377,216,0.8829712684,0.1170287316,0.6357504216,0.3642495784,1427,50% - 75%
VD,Lutry,7031,2434,55,1182,2545,0.7428420497,0.2571579503,0.317145157,0.682854843,9465,90% - 99%
BE,Lütschental,221,17,0,77,19,0.9285714286,0.07142857143,0.8020833333,0.1979166667,238,0% - 25%
BE,Lützelflüh,3844,208,6,1051,573,0.9486673248,0.05133267522,0.6471674877,0.3528325123,4052,75% - 90%
AR,Lutzenberg,1033,221,2,359,179,0.8237639553,0.1762360447,0.6672862454,0.3327137546,1254,25% - 50%
GR,Luzein,1113,93,0,312,173,0.9228855721,0.07711442786,0.6432989691,0.3567010309,1206,25% - 50%
LU,Luzern,60741,18737,518,10970,16689,0.7642492262,0.2357507738,0.3966159297,0.6033840703,79478,99% - 100%
BE,Lyss,11857,2223,44,2637,2417,0.8421164773,0.1578835227,0.5217649387,0.4782350613,14080,90% - 99%
BE,Lyssach,1330,98,1,310,216,0.931372549,0.06862745098,0.5893536122,0.4106463878,1428,50% - 75%
BE,Madiswil,2984,136,2,818,490,0.9564102564,0.04358974359,0.625382263,0.374617737,3120,50% - 75%
GR,Madulain,165,69,1,37,52,0.7051282051,0.2948717949,0.4157303371,0.5842696629,234,0% - 25%
AG,Magden,3242,548,5,741,788,0.855408971,0.144591029,0.4846304774,0.5153695226,3790,75% - 90%
AG,Mägenwil,1665,376,3,397,273,0.8157765801,0.1842234199,0.5925373134,0.4074626866,2041,50% - 75%
TI,Maggia,2255,284,3,623,314,0.888144939,0.111855061,0.6648879402,0.3351120598,2539,50% - 75%
TI,Magliaso,1132,335,1,458,138,0.7716428085,0.2283571915,0.7684563758,0.2315436242,1467,50% - 75%
GR,Maienfeld,2340,247,3,530,573,0.9045226131,0.09547738693,0.4805077063,0.5194922937,2587,50% - 75%
BL,Maisprach,815,114,0,212,180,0.8772874058,0.1227125942,0.5408163265,0.4591836735,929,25% - 50%
GR,Maladers,463,39,0,145,74,0.922310757,0.07768924303,0.6621004566,0.3378995434,502,0% - 25%
GR,Malans,2125,183,6,442,589,0.9207105719,0.07928942808,0.4287099903,0.5712900097,2308,50% - 75%
BE,Malleray,1598,389,9,356,281,0.8042274786,0.1957725214,0.5588697017,0.4411302983,1987,50% - 75%
LU,Malters,6115,746,28,1599,1232,0.8912694942,0.1087305058,0.5648180855,0.4351819145,6861,75% - 90%
TG,Mammern,448,168,2,120,94,0.7272727273,0.2727272727,0.5607476636,0.4392523364,616,25% - 50%
AG,Mandach,301,9,0,81,36,0.9709677419,0.02903225806,0.6923076923,0.3076923077,310,0% - 25%
ZH,Männedorf,8494,1976,51,1983,2594,0.8112702961,0.1887297039,0.4332532226,0.5667467774,10470,90% - 99%
TI,Manno,1018,226,5,384,166,0.8183279743,0.1816720257,0.6981818182,0.3018181818,1244,25% - 50%
VD,Maracon,412,43,0,84,124,0.9054945055,0.09450549451,0.4038461538,0.5961538462,455,0% - 25%
SG,Marbach (SG),1710,364,3,463,268,0.8244937319,0.1755062681,0.633378933,0.366621067,2074,50% - 75%
VD,Marchissy,371,77,2,123,51,0.828125,0.171875,0.7068965517,0.2931034483,448,0% - 25%
FR,Marly,5728,2001,31,1168,1605,0.7411049295,0.2588950705,0.4212044717,0.5787955283,7729,90% - 99%
GR,Marmorera,34,1,0,11,10,0.9714285714,0.02857142857,0.5238095238,0.4761904762,35,0% - 25%
TI,Maroggia,396,179,0,155,62,0.6886956522,0.3113043478,0.7142857143,0.2857142857,575,0% - 25%
FR,Marsens,1478,218,4,303,304,0.8714622642,0.1285377358,0.4991762768,0.5008237232,1696,50% - 75%
TG,Märstetten,2297,302,8,591,415,0.8838014621,0.1161985379,0.5874751491,0.4125248509,2599,50% - 75%
ZH,Marthalen,1788,180,3,599,336,0.9085365854,0.09146341463,0.6406417112,0.3593582888,1968,50% - 75%
VS,Martigny,11682,5215,209,2448,3347,0.6913653311,0.3086346689,0.422433132,0.577566868,16897,90% - 99%
VS,Martigny-Combe,2040,270,4,425,528,0.8831168831,0.1168831169,0.4459601259,0.5540398741,2310,50% - 75%
ZH,Maschwanden,567,74,1,147,129,0.8845553822,0.1154446178,0.5326086957,0.4673913043,641,25% - 50%
GR,Masein,414,13,1,82,129,0.9695550351,0.03044496487,0.3886255924,0.6113744076,427,0% - 25%
TI,Massagno,3555,2387,52,1073,718,0.5982834063,0.4017165937,0.5991066443,0.4008933557,5942,75% - 90%
VS,Massongex,1398,287,5,296,354,0.8296735905,0.1703264095,0.4553846154,0.5446153846,1685,50% - 75%
FR,Massonnens,412,41,0,100,78,0.9094922737,0.09050772627,0.5617977528,0.4382022472,453,0% - 25%
VD,Mathod,479,70,1,109,136,0.8724954463,0.1275045537,0.4448979592,0.5551020408,549,0% - 25%
GR,Mathon,45,2,0,4,10,0.9574468085,0.04255319149,0.2857142857,0.7142857143,47,0% - 25%
FR,Matran,1307,260,5,233,323,0.8340778558,0.1659221442,0.4190647482,0.5809352518,1567,50% - 75%
BE,Matten bei Interlaken,3169,608,5,783,558,0.8390256818,0.1609743182,0.5838926174,0.4161073826,3777,75% - 90%
BE,Mattstetten,563,23,0,150,117,0.9607508532,0.03924914676,0.5617977528,0.4382022472,586,0% - 25%
SO,Matzendorf,1215,76,0,425,198,0.9411309063,0.05886909373,0.6821829856,0.3178170144,1291,25% - 50%
TG,Matzingen,2022,566,3,456,312,0.7812982998,0.2187017002,0.59375,0.40625,2588,50% - 75%
VD,Mauborget,83,19,0,27,24,0.8137254902,0.1862745098,0.5294117647,0.4705882353,102,0% - 25%
LU,Mauensee,1063,98,2,270,238,0.9155900086,0.08440999139,0.531496063,0.468503937,1161,25% - 50%
ZH,Maur,7801,1833,71,2005,2158,0.8097363504,0.1902636496,0.481623829,0.518376171,9634,90% - 99%
VD,Mauraz,55,1,1,13,18,0.9821428571,0.01785714286,0.4193548387,0.5806451613,56,0% - 25%
GR,Medel (Lucmagn),407,15,1,74,99,0.9644549763,0.0355450237,0.4277456647,0.5722543353,422,0% - 25%
LU,Meggen,5804,948,14,1389,1801,0.8595971564,0.1404028436,0.4354231975,0.5645768025,6752,75% - 90%
LU,Meierskappel,1140,161,1,332,224,0.8762490392,0.1237509608,0.5971223022,0.4028776978,1301,25% - 50%
BE,Meikirch,2267,157,0,550,655,0.9352310231,0.0647689769,0.4564315353,0.5435684647,2424,50% - 75%
ZH,Meilen,10217,2599,66,2454,2995,0.7972066167,0.2027933833,0.4503578638,0.5496421362,12816,90% - 99%
GE,Meinier,1578,434,7,310,507,0.7842942346,0.2157057654,0.3794369645,0.6205630355,2012,50% - 75%
BE,Meinisberg,1165,144,0,337,187,0.8899923606,0.1100076394,0.643129771,0.356870229,1309,25% - 50%
BE,Meiringen,3923,719,9,911,747,0.8451098664,0.1548901336,0.5494571773,0.4505428227,4642,75% - 90%
AG,Meisterschwanden,2281,414,8,675,485,0.8463821892,0.1536178108,0.5818965517,0.4181034483,2695,50% - 75%
TI,Melano,1013,346,8,342,126,0.7454010302,0.2545989698,0.7307692308,0.2692307692,1359,50% - 75%
BE,Melchnau,1343,186,5,324,231,0.878351864,0.121648136,0.5837837838,0.4162162162,1529,50% - 75%
TI,Melide,1120,549,12,374,211,0.6710605153,0.3289394847,0.6393162393,0.3606837607,1669,50% - 75%
AG,Mellikon,219,31,0,50,45,0.876,0.124,0.5263157895,0.4736842105,250,0% - 25%
AG,Mellingen,3317,1431,19,799,622,0.698609941,0.301390059,0.5622800844,0.4377199156,4748,75% - 90%
SG,Mels,7195,1342,24,2019,1123,0.842801921,0.157198079,0.6425843412,0.3574156588,8537,90% - 99%
SO,Meltingen,597,21,0,191,95,0.9660194175,0.03398058252,0.6678321678,0.3321678322,618,25% - 50%
TI,Mendrisio,11509,2990,69,4197,1893,0.7937788813,0.2062211187,0.6891625616,0.3108374384,14499,90% - 99%
FR,Ménières,299,41,0,74,51,0.8794117647,0.1205882353,0.592,0.408,340,0% - 25%
AG,Menziken,3616,2014,13,1057,508,0.6422735346,0.3577264654,0.675399361,0.324600639,5630,75% - 90%
ZG,Menzingen,3580,755,25,1004,819,0.8258362168,0.1741637832,0.5507405376,0.4492594624,4335,75% - 90%
LU,Menznau,2638,232,13,815,358,0.9191637631,0.08083623693,0.694799659,0.305200341,2870,50% - 75%
AG,Merenschwand,2794,562,4,728,555,0.8325387366,0.1674612634,0.5674201091,0.4325798909,3356,75% - 90%
TI,Mergoscia,192,20,0,59,43,0.9056603774,0.09433962264,0.5784313725,0.4215686275,212,0% - 25%
SH,Merishausen,725,95,1,301,133,0.8841463415,0.1158536585,0.6935483871,0.3064516129,820,25% - 50%
JU,Mervelier,516,11,0,92,130,0.9791271347,0.02087286528,0.4144144144,0.5855855856,527,0% - 25%
BE,Merzligen,386,19,0,94,87,0.9530864198,0.04691358025,0.5193370166,0.4806629834,405,0% - 25%
GR,Mesocco,1067,193,1,261,128,0.8468253968,0.1531746032,0.6709511568,0.3290488432,1260,25% - 50%
SO,Messen,1347,54,1,389,257,0.9614561028,0.03854389722,0.6021671827,0.3978328173,1401,50% - 75%
AG,Mettauertal,1692,222,2,483,331,0.8840125392,0.1159874608,0.5933660934,0.4066339066,1914,50% - 75%
JU,Mettembert,102,12,0,12,43,0.8947368421,0.1052631579,0.2181818182,0.7818181818,114,0% - 25%
ZH,Mettmenstetten,3820,600,12,993,962,0.8642533937,0.1357466063,0.5079283887,0.4920716113,4420,75% - 90%
SO,Metzerlen-Mariastein,839,82,0,263,203,0.9109663409,0.08903365907,0.5643776824,0.4356223176,921,25% - 50%
VD,Mex (VD),469,170,4,135,135,0.7339593114,0.2660406886,0.5,0.5,639,25% - 50%
FR,Meyriez,548,49,1,121,160,0.9179229481,0.08207705193,0.4306049822,0.5693950178,597,25% - 50%
GE,Meyrin,12126,9592,127,2550,2733,0.5583387052,0.4416612948,0.4826802953,0.5173197047,21718,90% - 99%
FR,Mézières (FR),898,102,0,251,148,0.898,0.102,0.6290726817,0.3709273183,1000,25% - 50%
VD,Mézières (VD),994,154,3,203,284,0.8658536585,0.1341463415,0.4168377823,0.5831622177,1148,25% - 50%
TI,Mezzovico-Vira,1090,207,1,439,107,0.8404009252,0.1595990748,0.804029304,0.195970696,1297,25% - 50%
VS,Miège,1161,165,7,240,342,0.8755656109,0.1244343891,0.412371134,0.587628866,1326,25% - 50%
VD,Mies,1142,766,22,176,351,0.5985324948,0.4014675052,0.3339658444,0.6660341556,1908,50% - 75%
TI,Miglieglia,251,35,1,78,22,0.8776223776,0.1223776224,0.78,0.22,286,0% - 25%
NE,Milvignes,7278,1634,39,1295,2348,0.8166517056,0.1833482944,0.3554762558,0.6445237442,8912,90% - 99%
TI,Minusio,5548,1664,23,1646,1063,0.7692734332,0.2307265668,0.607604282,0.392395718,7212,90% - 99%
BE,Mirchel,577,14,0,166,59,0.9763113367,0.02368866328,0.7377777778,0.2622222222,591,0% - 25%
FR,Misery-Courtion,1321,314,2,312,225,0.8079510703,0.1920489297,0.5810055866,0.4189944134,1635,50% - 75%
VD,Missy,297,29,2,64,88,0.9110429448,0.08895705521,0.4210526316,0.5789473684,326,0% - 25%
AG,Möhlin,8067,2388,43,1849,1357,0.7715925395,0.2284074605,0.5767311291,0.4232688709,10455,90% - 99%
VD,Moiry,243,28,1,51,75,0.8966789668,0.1033210332,0.4047619048,0.5952380952,271,0% - 25%
TI,Moleno,102,14,0,44,19,0.8793103448,0.1206896552,0.6984126984,0.3015873016,116,0% - 25%
VD,Mollens (VD),259,36,0,52,65,0.8779661017,0.1220338983,0.4444444444,0.5555555556,295,0% - 25%
VS,Mollens (VS),677,253,1,167,179,0.7279569892,0.2720430108,0.4826589595,0.5173410405,930,25% - 50%
VD,Molondin,179,25,0,57,52,0.8774509804,0.1225490196,0.5229357798,0.4770642202,204,0% - 25%
GR,Mon,95,2,0,18,26,0.9793814433,0.0206185567,0.4090909091,0.5909090909,97,0% - 25%
ZH,Mönchaltorf,2969,478,14,782,728,0.8613286916,0.1386713084,0.5178807947,0.4821192053,3447,75% - 90%
BE,Monible,35,1,0,11,11,0.9722222222,0.02777777778,0.5,0.5,36,0% - 25%
VD,Mont-la-Ville,316,31,0,55,102,0.9106628242,0.08933717579,0.3503184713,0.6496815287,347,0% - 25%
VS,Mont-Noble,840,82,1,209,285,0.9110629067,0.08893709328,0.4230769231,0.5769230769,922,25% - 50%
VD,Mont-sur-Rolle,1823,724,16,320,485,0.7157440126,0.2842559874,0.397515528,0.602484472,2547,50% - 75%
BE,Mont-Tramelan,100,2,0,32,21,0.9803921569,0.01960784314,0.6037735849,0.3962264151,102,0% - 25%
FR,Montagny (FR),1914,189,9,455,403,0.910128388,0.08987161198,0.5303030303,0.4696969697,2103,50% - 75%
VD,Montagny-près-Yverdon,595,109,2,108,158,0.8451704545,0.1548295455,0.4060150376,0.5939849624,704,25% - 50%
NE,Montalchez,244,13,0,48,50,0.9494163424,0.05058365759,0.4897959184,0.5102040816,257,0% - 25%
VS,Montana,1674,694,13,438,451,0.7069256757,0.2930743243,0.4926884139,0.5073115861,2368,50% - 75%
VD,Montanaire,2087,235,0,502,507,0.898794143,0.101205857,0.4975222993,0.5024777007,2322,50% - 75%
VD,Montcherand,414,39,1,91,91,0.9139072848,0.08609271523,0.5,0.5,453,0% - 25%
TI,Monte Carasso,2146,588,16,655,275,0.7849305048,0.2150694952,0.7043010753,0.2956989247,2734,50% - 75%
TI,Monteceneri,3404,1023,5,1223,326,0.7689180032,0.2310819968,0.7895416398,0.2104583602,4427,75% - 90%
TI,Monteggio,706,182,3,308,80,0.795045045,0.204954955,0.793814433,0.206185567,888,25% - 50%
