Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
VD,Château-d'Oex,2580,718,6,455,607,0.7822922984,0.2177077016,0.4284369115,0.5715630885,3298,75% - 90%
FR,Châtel-Saint-Denis,4501,1589,31,955,964,0.7390804598,0.2609195402,0.4976550287,0.5023449713,6090,75% - 90%
FR,Châtel-sur-Montsalvens,183,65,0,52,50,0.7379032258,0.2620967742,0.5098039216,0.4901960784,248,0% - 25%
BE,Châtelat,102,2,1,41,18,0.9807692308,0.01923076923,0.6949152542,0.3050847458,104,0% - 25%
FR,Châtillon (FR),379,26,1,85,104,0.9358024691,0.06419753086,0.4497354497,0.5502645503,405,0% - 25%
JU,Châtillon (JU),433,19,0,93,85,0.9579646018,0.04203539823,0.5224719101,0.4775280899,452,0% - 25%
FR,Châtonnaye,672,70,0,136,144,0.9056603774,0.09433962264,0.4857142857,0.5142857143,742,25% - 50%
VD,Chavannes-de-Bogis,692,405,8,159,170,0.6308113036,0.3691886964,0.4832826748,0.5167173252,1097,25% - 50%
VD,Chavannes-des-Bois,475,322,9,80,156,0.5959849435,0.4040150565,0.3389830508,0.6610169492,797,25% - 50%
VD,Chavannes-le-Chêne,237,22,0,42,49,0.9150579151,0.08494208494,0.4615384615,0.5384615385,259,0% - 25%
VD,Chavannes-le-Veyron,111,16,0,23,38,0.874015748,0.125984252,0.3770491803,0.6229508197,127,0% - 25%
VD,Chavannes-près-Renens,3453,3605,75,627,845,0.4892320771,0.5107679229,0.425951087,0.574048913,7058,90% - 99%
VD,Chavannes-sur-Moudon,205,8,0,57,43,0.9624413146,0.03755868545,0.57,0.43,213,0% - 25%
VD,Chavornay,2829,954,44,570,673,0.7478191911,0.2521808089,0.4585679807,0.5414320193,3783,75% - 90%
FR,Cheiry,338,27,0,119,56,0.9260273973,0.07397260274,0.68,0.32,365,0% - 25%
GE,Chêne-Bougeries,7022,3508,50,1249,2320,0.6668566002,0.3331433998,0.3499579714,0.6500420286,10530,90% - 99%
GE,Chêne-Bourg,5217,2855,61,891,1419,0.646308226,0.353691774,0.3857142857,0.6142857143,8072,90% - 99%
VD,Chêne-Pâquier,115,2,0,32,33,0.9829059829,0.01709401709,0.4923076923,0.5076923077,117,0% - 25%
FR,Chénens,609,93,2,121,116,0.8675213675,0.1324786325,0.5105485232,0.4894514768,702,25% - 50%
VS,Chermignon,2168,840,11,623,655,0.7207446809,0.2792553191,0.4874804382,0.5125195618,3008,50% - 75%
VD,Chesalles-sur-Moudon,140,7,0,34,32,0.9523809524,0.04761904762,0.5151515152,0.4848484848,147,0% - 25%
