 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20100207;2.8;1.0;0
WAE;20100208;0.5;0.0;1
WAE;20100209;1.0;0.0;55
WAE;20100210;-2.0;2.6;0
WAE;20100211;-4.6;0.0;0
WAE;20100212;-3.2;0.3;0
WAE;20100213;-2.4;0.0;51
WAE;20100214;-2.7;0.0;0
WAE;20100215;-1.9;0.0;45
WAE;20100216;0.1;0.0;45
WAE;20100217;4.0;0.0;9
WAE;20100218;6.9;0.0;17
WAE;20100219;4.2;8.2;0
WAE;20100220;4.1;0.0;25
WAE;20100221;5.8;0.0;85
WAE;20100222;10.5;0.0;59
WAE;20100223;8.4;3.2;17
WAE;20100224;10.3;0.0;55
WAE;20100225;11.2;0.0;45
WAE;20100226;11.5;0.0;26
WAE;20100227;10.7;0.0;68
WAE;20100228;12.9;0.0;4
WAE;20100301;10.9;0.0;78
WAE;20100302;8.7;0.8;9
WAE;20100303;8.5;0.0;44
WAE;20100304;2.6;0.0;0
WAE;20100305;2.5;0.0;37
WAE;20100306;1.7;4.2;23
WAE;20100307;0.1;0.0;48
WAE;20100308;0.3;0.0;76
WAE;20100309;-2.0;0.0;5
WAE;20100310;-1.2;0.0;0
WAE;20100311;-0.9;1.7;0
WAE;20100312;2.2;0.0;52
WAE;20100313;5.1;0.0;84
WAE;20100314;4.8;0.0;6
WAE;20100315;7.7;0.3;29
WAE;20100316;5.1;5.8;12
WAE;20100317;11.2;0.0;91
WAE;20100318;15.5;0.0;80
WAE;20100319;17.2;0.0;81
WAE;20100320;15.5;1.6;1
WAE;20100321;13.9;4.3;3
WAE;20100322;14.6;0.0;78
WAE;20100323;16.7;0.0;84
WAE;20100324;18.7;0.0;100
WAE;20100325;21.3;0.0;55
WAE;20100326;15.3;11.4;36
WAE;20100327;11.1;1.5;41
WAE;20100328;10.1;9.3;2
WAE;20100329;15.7;0.0;52
WAE;20100330;16.5;6.1;41
WAE;20100331;10.4;0.0;60
WAE;20100401;5.7;3.0;19
WAE;20100402;10.2;0.0;80
WAE;20100403;14.9;0.0;53
WAE;20100404;10.8;1.1;4
WAE;20100405;9.4;0.1;30
WAE;20100406;15.0;0.0;100
WAE;20100407;19.6;0.0;97
